사용일자,노선명,역명,승차총승객수,하차총승객수,등록일자,년도,월,평균기온(℃),평균최저기온(℃),평균최고기온(℃),평균 강수일수,월별강수량합계,강수일수,결빙일수,뇌전일수,눈일수,서리일수,안개일수,열대야일수,폭염일수,한파일수,황사일수
2022-01-01,2호선,구로디지털단지,18363,18352,20220104,2022,1,-2.2,-6.2,2.6,7,5.5,7.0,30.0,0.0,12.0,27.0,0.0,0.0,0.0,0.0,0.0
2022-01-01,2호선,신대방,11652,11727,20220104,2022,1,-2.2,-6.2,2.6,7,5.5,7.0,30.0,0.0,12.0,27.0,0.0,0.0,0.0,0.0,0.0
2022-01-01,2호선,신림,29564,29162,20220104,2022,1,-2.2,-6.2,2.6,7,5.5,7.0,30.0,0.0,12.0,27.0,0.0,0.0,0.0,0.0,0.0
2022-01-01,2호선,봉천,9207,8941,20220104,2022,1,-2.2,-6.2,2.6,7,5.5,7.0,30.0,0.0,12.0,27.0,0.0,0.0,0.0,0.0,0.0
2022-01-01,2호선,서울대입구(관악구청),20142,20315,20220104,2022,1,-2.2,-6.2,2.6,7,5.5,7.0,30.0,0.0,12.0,27.0,0.0,0.0,0.0,0.0,0.0
2022-01-01,2호선,낙성대(강감찬),11148,10973,20220104,2022,1,-2.2,-6.2,2.6,7,5.5,7.0,30.0,0.0,12.0,27.0,0.0,0.0,0.0,0.0,0.0
2022-01-01,2호선,사당,15292,16173,20220104,2022,1,-2.2,-6.2,2.6,7,5.5,7.0,30.0,0.0,12.0,27.0,0.0,0.0,0.0,0.0,0.0
2022-01-01,2호선,방배,4297,4484,20220104,2022,1,-2.2,-6.2,2.6,7,5.5,7.0,30.0,0.0,12.0,27.0,0.0,0.0,0.0,0.0,0.0
2022-01-01,2호선,서초,4010,3348,20220104,2022,1,-2.2,-6.2,2.6,7,5.5,7.0,30.0,0.0,12.0,27.0,0.0,0.0,0.0,0.0,0.0
2022-01-01,2호선,교대(법원.검찰청),6678,7333,20220104,2022,1,-2.2,-6.2,2.6,7,5.5,7.0,30.0,0.0,12.0,27.0,0.0,0.0,0.0,0.0,0.0
2022-01-01,2호선,강남,26200,24977,20220104,2022,1,-2.2,-6.2,2.6,7,5.5,7.0,30.0,0.0,12.0,27.0,0.0,0.0,0.0,0.0,0.0
2022-01-01,2호선,역삼,8239,8524,20220104,2022,1,-2.2,-6.2,2.6,7,5.5,7.0,30.0,0.0,12.0,27.0,0.0,0.0,0.0,0.0,0.0
2022-01-01,2호선,선릉,9197,7746,20220104,2022,1,-2.2,-6.2,2.6,7,5.5,7.0,30.0,0.0,12.0,27.0,0.0,0.0,0.0,0.0,0.0
2022-01-01,2호선,삼성(무역센터),15003,13937,20220104,2022,1,-2.2,-6.2,2.6,7,5.5,7.0,30.0,0.0,12.0,27.0,0.0,0.0,0.0,0.0,0.0
2022-01-01,2호선,종합운동장,3428,3504,20220104,2022,1,-2.2,-6.2,2.6,7,5.5,7.0,30.0,0.0,12.0,27.0,0.0,0.0,0.0,0.0,0.0
2022-01-01,2호선,잠실새내,8404,8750,20220104,2022,1,-2.2,-6.2,2.6,7,5.5,7.0,30.0,0.0,12.0,27.0,0.0,0.0,0.0,0.0,0.0
2022-01-01,2호선,잠실(송파구청),35454,33619,20220104,2022,1,-2.2,-6.2,2.6,7,5.5,7.0,30.0,0.0,12.0,27.0,0.0,0.0,0.0,0.0,0.0
2022-01-01,2호선,잠실나루,3594,3660,20220104,2022,1,-2.2,-6.2,2.6,7,5.5,7.0,30.0,0.0,12.0,27.0,0.0,0.0,0.0,0.0,0.0
2022-01-01,2호선,강변(동서울터미널),14225,13711,20220104,2022,1,-2.2,-6.2,2.6,7,5.5,7.0,30.0,0.0,12.0,27.0,0.0,0.0,0.0,0.0,0.0
2022-01-01,2호선,구의(광진구청),8872,8862,20220104,2022,1,-2.2,-6.2,2.6,7,5.5,7.0,30.0,0.0,12.0,27.0,0.0,0.0,0.0,0.0,0.0
