사용일자,노선명,역명,승차총승객수,하차총승객수,월,평균기온(℃),일교차,강수량(mm),거리,경기수,요일
2022-01-01,2호선,구로디지털단지,18363,18352,1,-4.3,12.5,0.0,5.3,0.0,5
2022-01-01,2호선,신대방,11652,11727,1,-4.3,12.5,0.0,4.4,0.0,5
2022-01-01,2호선,신림,29564,29162,1,-4.3,12.5,0.0,4.0,0.0,5
2022-01-01,2호선,봉천,9207,8941,1,-4.3,12.5,0.0,3.7,0.0,5
2022-01-01,2호선,서울대입구(관악구청),20142,20315,1,-4.3,12.5,0.0,3.3,0.0,5
2022-01-01,2호선,낙성대(강감찬),11148,10973,1,-4.3,12.5,0.0,3.3,0.0,5
2022-01-01,2호선,사당,15292,16173,1,-4.3,12.5,0.0,3.3,0.0,5
2022-01-01,2호선,방배,4297,4484,1,-4.3,12.5,0.0,3.0,0.0,5
2022-01-01,2호선,서초,4010,3348,1,-4.3,12.5,0.0,2.3,0.0,5
2022-01-01,2호선,교대(법원.검찰청),6678,7333,1,-4.3,12.5,0.0,2.5,0.0,5
2022-01-01,2호선,강남,26200,24977,1,-4.3,12.5,0.0,2.7,0.0,5
2022-01-01,2호선,역삼,8239,8524,1,-4.3,12.5,0.0,3.2,0.0,5
2022-01-01,2호선,선릉,9197,7746,1,-4.3,12.5,0.0,2.3,0.0,5
2022-01-01,2호선,삼성(무역센터),15003,13937,1,-4.3,12.5,0.0,1.3,0.0,5
2022-01-01,2호선,종합운동장,3428,3504,1,-4.3,12.5,0.0,0.8,0.0,5
2022-01-01,2호선,잠실새내,8404,8750,1,-4.3,12.5,0.0,0.7,0.0,5
2022-01-01,2호선,잠실(송파구청),35454,33619,1,-4.3,12.5,0.0,1.0,0.0,5
2022-01-01,2호선,잠실나루,3594,3660,1,-4.3,12.5,0.0,0.4,0.0,5
2022-01-01,2호선,강변(동서울터미널),14225,13711,1,-4.3,12.5,0.0,0.2,0.0,5
2022-01-01,2호선,구의(광진구청),8872,8862,1,-4.3,12.5,0.0,0.9,0.0,5
2022-01-01,2호선,건대입구,21954,23039,1,-4.3,12.5,0.0,1.3,0.0,5
2022-01-01,2호선,성수,9220,10042,1,-4.3,12.5,0.0,1.1,0.0,5
2022-01-01,2호선,뚝섬,6067,5964,1,-4.3,12.5,0.0,1.1,0.0,5
2022-01-01,2호선,한양대,1359,1517,1,-4.3,12.5,0.0,1.9,0.0,5
2022-01-01,2호선,왕십리(성동구청),6953,6214,1,-4.3,12.5,0.0,1.1,0.0,5
2022-01-01,2호선,상왕십리,5212,5043,1,-4.3,12.5,0.0,2.4,0.0,5
2022-01-01,2호선,신당,6015,6529,1,-4.3,12.5,0.0,2.6,0.0,5
2022-01-01,2호선,동대문역사문화공원(DDP),5620,6213,1,-4.3,12.5,0.0,2.7,0.0,5
