,날짜,지점,강수량(mm)
0,2022-01-01,108,0.0
1,2022-01-02,108,0.3
2,2022-01-03,108,0.0
3,2022-01-04,108,0.0
4,2022-01-05,108,0.0
5,2022-01-06,108,0.0
6,2022-01-07,108,0.0
7,2022-01-08,108,0.0
8,2022-01-09,108,0.0
9,2022-01-10,108,0.9
10,2022-01-11,108,0.2
11,2022-01-12,108,0.0
12,2022-01-13,108,0.0
13,2022-01-14,108,0.0
14,2022-01-15,108,0.0
15,2022-01-16,108,0.0
16,2022-01-17,108,0.5
17,2022-01-18,108,0.0
18,2022-01-19,108,1.7
19,2022-01-20,108,0.0
20,2022-01-21,108,0.0
21,2022-01-22,108,0.0
22,2022-01-23,108,0.0
23,2022-01-24,108,0.0
24,2022-01-25,108,0.7
25,2022-01-26,108,0.0
26,2022-01-27,108,0.0
27,2022-01-28,108,0.0
28,2022-01-29,108,0.0
29,2022-01-30,108,0.0
30,2022-01-31,108,1.2
31,2022-02-01,108,1.7
32,2022-02-02,108,0.0
33,2022-02-03,108,0.0
34,2022-02-04,108,0.0
35,2022-02-05,108,0.0
36,2022-02-06,108,0.0
37,2022-02-07,108,0.0
38,2022-02-08,108,0.0
39,2022-02-09,108,0.0
40,2022-02-10,108,0.0
41,2022-02-11,108,0.0
42,2022-02-12,108,0.0
43,2022-02-13,108,0.0
44,2022-02-14,108,1.7
45,2022-02-15,108,0.0
46,2022-02-16,108,0.0
47,2022-02-17,108,0.0
48,2022-02-18,108,0.0
49,2022-02-19,108,0.1
50,2022-02-20,108,0.0
51,2022-02-21,108,0.1
52,2022-02-22,108,0.0
53,2022-02-23,108,0.0
54,2022-02-24,108,0.0
55,2022-02-25,108,0.0
56,2022-02-26,108,1.1
57,2022-02-27,108,0.0
58,2022-02-28,108,0.0
59,2022-03-01,108,2.3
60,2022-03-02,108,0.0
61,2022-03-03,108,0.0
62,2022-03-04,108,0.0
63,2022-03-05,108,0.0
64,2022-03-06,108,0.0
65,2022-03-07,108,0.0
66,2022-03-08,108,0.0
67,2022-03-09,108,0.0
68,2022-03-10,108,0.0
69,2022-03-11,108,0.0
70,2022-03-12,108,2.6
71,2022-03-13,108,42.1
72,2022-03-14,108,8.7
73,2022-03-15,108,0.0
74,2022-03-16,108,0.0
75,2022-03-17,108,1.2
76,2022-03-18,108,0.0
77,2022-03-19,108,14.6
78,2022-03-20,108,0.0
79,2022-03-21,108,0.0
80,2022-03-22,108,0.0
81,2022-03-23,108,0.0
82,2022-03-24,108,0.0
83,2022-03-25,108,10.9
84,2022-03-26,108,19.8
85,2022-03-27,108,0.0
86,2022-03-28,108,0.0
87,2022-03-29,108,0.0
88,2022-03-30,108,0.4
89,2022-03-31,108,0.0
90,2022-04-01,108,0.0
91,2022-04-02,108,0.0
92,2022-04-03,108,0.0
93,2022-04-04,108,0.0
94,2022-04-05,108,0.0
95,2022-04-06,108,0.0
96,2022-04-07,108,0.0
97,2022-04-08,108,0.0
98,2022-04-09,108,0.5
99,2022-04-10,108,0.0
100,2022-04-11,108,0.0
101,2022-04-12,108,0.5
102,2022-04-13,108,1.3
103,2022-04-14,108,0.0
104,2022-04-15,108,0.0
105,2022-04-16,108,0.0
106,2022-04-17,108,0.0
107,2022-04-18,108,0.0
108,2022-04-19,108,0.0
109,2022-04-20,108,0.0
110,2022-04-21,108,0.0
111,2022-04-22,108,0.0
112,2022-04-23,108,0.0
113,2022-04-24,108,0.3
114,2022-04-25,108,1.3
115,2022-04-26,108,1.0
116,2022-04-27,108,0.0
117,2022-04-28,108,0.0
118,2022-04-29,108,15.5
119,2022-04-30,108,0.0
120,2022-05-01,108,0.0
121,2022-05-02,108,0.0
122,2022-05-03,108,0.0
123,2022-05-04,108,0.0
124,2022-05-05,108,0.0
125,2022-05-06,108,0.0
126,2022-05-07,108,0.5
127,2022-05-08,108,2.0
128,2022-05-09,108,0.0
129,2022-05-10,108,0.0
130,2022-05-11,108,0.0
131,2022-05-12,108,0.0
132,2022-05-13,108,0.0
133,2022-05-14,108,0.0
134,2022-05-15,108,0.0
135,2022-05-16,108,0.0
136,2022-05-17,108,0.0
137,2022-05-18,108,1.5
138,2022-05-19,108,0.0
139,2022-05-20,108,0.0
140,2022-05-21,108,0.0
141,2022-05-22,108,0.0
142,2022-05-23,108,0.0
143,2022-05-24,108,0.0
144,2022-05-25,108,3.5
145,2022-05-26,108,0.0
146,2022-05-27,108,0.0
147,2022-05-28,108,0.0
148,2022-05-29,108,0.0
149,2022-05-30,108,0.0
150,2022-05-31,108,0.0
151,2022-06-01,108,0.0
152,2022-06-02,108,0.0
153,2022-06-03,108,0.0
154,2022-06-04,108,0.0
155,2022-06-05,108,0.0
156,2022-06-06,108,4.3
157,2022-06-07,108,0.0
158,2022-06-08,108,0.0
159,2022-06-09,108,2.6
160,2022-06-10,108,1.2
161,2022-06-11,108,0.0
162,2022-06-12,108,0.0
163,2022-06-13,108,18.0
164,2022-06-14,108,0.0
165,2022-06-15,108,18.5
166,2022-06-16,108,0.7
167,2022-06-17,108,0.0
168,2022-06-18,108,0.0
169,2022-06-19,108,0.0
170,2022-06-20,108,0.0
171,2022-06-21,108,0.0
172,2022-06-22,108,0.0
173,2022-06-23,108,103.0
174,2022-06-24,108,19.1
175,2022-06-25,108,0.0
176,2022-06-26,108,0.0
177,2022-06-27,108,6.1
178,2022-06-28,108,6.3
179,2022-06-29,108,37.8
180,2022-06-30,108,176.2
181,2022-07-01,108,0.0
182,2022-07-02,108,0.0
183,2022-07-03,108,0.0
184,2022-07-04,108,0.0
185,2022-07-05,108,0.0
186,2022-07-06,108,16.1
